=== Baseline cProfile ===
         3769817 function calls (3693713 primitive calls) in 322.627 seconds

   Ordered by: cumulative time
   List reduced from 5607 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
28972/23544    0.025    0.000    7.527    0.000 {built-in method builtins.hasattr}
     38/4    0.000    0.000    7.472    1.868 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\importlib\__init__.py:71(import_module)
     38/4    0.000    0.000    7.472    1.868 <frozen importlib._bootstrap>:1375(_gcd_import)
     35/1    0.000    0.000    7.457    7.457 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\scipy\__init__.py:141(__getattr__)
        1    0.000    0.000    7.456    7.456 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\scipy\signal\__init__.py:1(<module>)
        1    0.000    0.000    7.442    7.442 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\scipy\signal\_support_alternative_backends.py:1(<module>)
        1    0.000    0.000    6.426    6.426 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\scipy\signal\_signal_api.py:1(<module>)



=== Optimized cProfile ===
         2652995 function calls (2650068 primitive calls) in 162.898 seconds

   Ordered by: cumulative time
   List reduced from 1186 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.011    0.011  162.849  162.849 D:\workspace_cn\workspace\DEMO_Stroke11162226\scripts\perf_ippg.py:16(run_main_once)
        1    0.001    0.001  162.838  162.838 D:\workspace_cn\workspace\DEMO_Stroke11162226\iPPG_info.py:700(main)
    25/14    0.000    0.000  131.743    9.410 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\_csot.py:118(csot_wrapper)
    88/47    0.003    0.000  131.656    2.801 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\network_layer.py:746(receive_message)
  190/107    0.070    0.000  131.578    1.230 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\network_layer.py:325(receive_data)
       11    0.000    0.000  131.380   11.944 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\mongo_client.py:2016(_retryable_read)
7514/7367    0.119    0.000  130.931    0.018 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\network_layer.py:292(wait_for_read)
8206/7900    0.101    0.000  130.742    0.017 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\socket_checker.py:45(select)
       10    0.000    0.000  125.130   12.513 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\mongo_client.py:1888(_run_operation)
      944    0.000    0.000  123.018    0.130 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\cursor.py:1288(__next__)
      944    0.002    0.000  122.863    0.130 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\cursor.py:1258(next)
       17    0.001    0.000  122.859    7.227 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\cursor.py:1176(_refresh)
        9    0.001    0.000  122.857   13.651 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\cursor.py:1093(_send_message)
8206/7900  104.840    0.013   99.779    0.013 {built-in method select.select}
        1    0.000    0.000   56.560   56.560 D:\workspace_cn\workspace\DEMO_Stroke11162226\iPPG_info.py:852(_auto_tune_if_needed)
        2    0.000    0.000   56.559   28.280 D:\workspace_cn\workspace\DEMO_Stroke11162226\iPPG_info.py:839(_measure_read_time)
        2    0.000    0.000   56.553   28.277 D:\workspace_cn\workspace\DEMO_Stroke11162226\iPPG_info.py:610(process_devices_parallel)
        3    0.092    0.031   47.389   15.796 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\concurrent\futures\_base.py:646(__exit__)
     16/9    0.684    0.043   35.253    3.917 D:\workspace_cn\workspace\DEMO_Stroke11162226\iPPG_info.py:576(_process_one_device)
       39    0.001    0.000   26.469    0.679 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\threading.py:641(wait)
       27    0.001    0.000   26.469    0.980 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\concurrent\futures\_base.py:199(as_completed)
        3    0.000    0.000   26.411    8.804 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\concurrent\futures\thread.py:220(shutdown)
       15    0.000    0.000   26.410    1.761 C:\Users\蔡宇衡-杜仲\python-sdk\python3.13.2\Lib\threading.py:1056(join)
       15    0.001    0.000   26.410    1.761 {method 'join' of '_thread._ThreadHandle' objects}
       11    0.000    0.000   25.000    2.273 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\mongo_client.py:1977(_retry_internal)
       11    0.000    0.000   24.999    2.273 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\mongo_client.py:2747(run)
       11    0.000    0.000   24.999    2.273 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\mongo_client.py:2905(_read)
       10    0.000    0.000   18.746    1.875 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\mongo_client.py:1922(_cmd)
       10    0.001    0.000   18.745    1.874 D:\workspace_cn\workspace\DEMO_Stroke11162226\.venv\Lib\site-packages\pymongo\synchronous\server.py:137(run_operation)
        8    0.051    0.006   18.018    2.252 D:\workspace_cn\workspace\DEMO_Stroke11162226\iPPG_info.py:265(decompress_rows)
        8    0.001    0.000   16.809    2.101 D:\workspace_cn\workspace\DEMO_Stroke11162226\iPPG_info.py:669(fetch_device_rows)
